Id,Url,ImageUrl,Name,Symbol,CoinName,FullName,Algorithm,ProofType,FullyPremined,TotalCoinSupply,PreMinedValue,TotalCoinsFreeFloat,SortOrder,Sponsored
100954,/coins/usc/overview,/media/1383363/usc.png,USC,USC,Ultimate Secure Cash,Ultimate Secure Cash (USC),SHA256,PoS,0,200084200,N/A,N/A,1233,False
105206,/coins/dux/overview,/media/1383364/dux.png,DUX,DUX,DuxCoin,DuxCoin (DUX),Scrypt,PoW/PoS,0,1680000000,N/A,N/A,1234,False
105220,/coins/xps/overview,/media/1383365/xps.png,XPS,XPS,PoisonIvyCoin,PoisonIvyCoin (XPS),Scrypt,PoW/PoS,0,4666666667,N/A,N/A,1235,False
105263,/coins/eqt/overview,/media/1383366/eqt.png,EQT,EQT,EquiTrader,EquiTrader (EQT),Scrypt,PoW,0,72000000,N/A,N/A,1236,False
105284,/coins/insn/overview,/media/1383366/insn.png,INSN,INSN,Insane Coin,Insane Coin (INSN),X11,PoW/PoS,0,30000000,N/A,N/A,1237,False
107672,/coins/bat/overview,/media/1383370/bat.png,BAT,BAT,Basic Attention Token,Basic Attention Token (BAT),N/A,N/A,0,1500000000,N/A,N/A,1238,False
108099,/coins/f16/overview,/media/1383372/f16.png,F16,F16,F16Coin,F16Coin (F16),Scrypt,PoW/PoS,0,N/A,N/A,N/A,1240,False
112363,/coins/hams/overview,/media/1383381/hams.png,HAMS,HAMS,HamsterCoin,HamsterCoin (HAMS),Scrypt,PoW,0,20000000,N/A,N/A,1241,False
112392,/coins/qtum/overview,/media/1383382/qtum.png,QTUM,QTUM,QTUM,QTUM (QTUM),POS 3.0,PoS,0,100000000,N/A,N/A,1242,False
112405,/coins/nef/overview,/media/1383383/nef.png,NEF,NEF,NefariousCoin,NefariousCoin (NEF),Scrypt,PoW/PoS,0,4835000000,N/A,N/A,1243,False
116180,/coins/zen/overview,/media/1383502/zen.png,ZEN,ZEN,ZenCash,ZenCash (ZEN),Equihash,PoW,0,21000000,N/A,N/A,1244,False
116384,/coins/bos/overview,/media/1383521/bos.png,BOS,BOS,BOScoin,BOScoin (BOS),N/A,mFBA,0,500000000,N/A,N/A,1245,False
116425,/coins/qwark/overview,/media/1383522/qwark.png,QWARK,QWARK,Qwark,Qwark (QWARK),N/A,N/A,0,250377576,N/A,N/A,1246,False
1182,/coins/btc/overview,/media/19633/btc.png,BTC,BTC,Bitcoin,Bitcoin (BTC),SHA256,PoW,0,21000000,N/A,N/A,1,False
1183,/coins/nxt/overview,/media/20627/nxt.png,NXT,NXT,Nxt,Nxt (NXT),PoS,PoS/LPoS,1,1000000000,N/A,N/A,6,False
12192,/coins/digs/overview,/media/20706/digs.png,DIGS,DIGS,Diggits,Diggits (DIGS),Scrypt,PoS,1,100000000,N/A,N/A,464,False
12194,/coins/exp/overview,/media/20707/exp.png,EXP,EXP,Expanse,Expanse (EXP),Ethash,PoW,0,N/A,N/A,N/A,465,False
12217,/coins/gcr/overview,/media/20708/gcr.png,GCR,GCR,Global Currency Reserve,Global Currency Reserve (GCR),N/A,PoS,0,0,N/A,N/A,466,False
12223,/coins/mapc/overview,/media/20710/mapc.png,MAPC,MAPC,MapCoin,MapCoin (MAPC),X11,PoS,0,2228921.184,N/A,N/A,467,False
12225,/coins/mi/overview,/media/20711/mi.png,MI,MI,XiaoMiCoin,XiaoMiCoin (MI),Scrypt,PoW/PoS,0,400000000,N/A,N/A,468,False
127738,/coins/adl/overview,/media/1383544/adl.png,ADL,ADL,Adelphoi,Adelphoi (ADL),N/A,N/A,0,100000000,N/A,N/A,1249,False
129013,/coins/ecc/overview,/media/1383546/ecc.png,ECC,ECC,E-CurrencyCoin,E-CurrencyCoin (ECC),Scrypt,PoW/PoS,0,25000000000,N/A,N/A,1250,False
129035,/coins/ptoy/overview,/media/1383547/ptoy.png,PTOY,PTOY,Patientory,Patientory (PTOY),N/A,N/A,0,100001999,N/A,N/A,1251,False
129604,/coins/zrc/overview,/media/1383548/xzc.png,ZRC,ZRC,ZrCoin,ZrCoin (ZRC),N/A,N/A,0,4988894,N/A,N/A,1252,False
12985,/coins/con_/overview,/media/20717/con_.png,CON_,CON,Paycon,Paycon (CON_),X13,PoW/PoS,0,50000000,N/A,N/A,469,False
13044,/coins/neu/overview,/media/20721/neu.png,NEU,NEU,NeuCoin,NeuCoin (NEU),N/A,PoS,0,100000000000,N/A,N/A,470,False
13074,/coins/clv/overview,/media/20727/clv.png,CLV,CLV,CleverCoin,CleverCoin (CLV),N/A,PoS/PoW,0,0,N/A,N/A,474,False
130939,/coins/lkk/overview,/media/1383553/lkk.png,LKK,LKK,Lykke,Lykke (LKK),N/A,N/A,1,1285690000,N/A,N/A,1253,False
131079,/coins/mad/overview,/media/1383556/mad.png,MAD,MAD,SatoshiMadness,SatoshiMadness (MAD),PoS,POS,0,2000000000,N/A,N/A,1255,False
131111,/coins/dyn/overview,/media/1383557/dyn.png,DYN,DYN,Dynamic,Dynamic (DYN),Argon2,PoW,0,44738100,N/A,N/A,1256,False
131112,/coins/seq/overview,/media/1383558/seq.png,SEQ,SEQ,Sequence,Sequence (SEQ),Scrypt,PoW/PoS,0,44738100,N/A,N/A,1257,False
13280,/coins/fct/overview,/media/1382863/fct1.png,FCT,FCT,Factoids,Factoids (FCT),N/A,N/A,1,8753873,N/A,N/A,475,False
13281,/coins/lyb/overview,/media/20339/lyb.png,LYB,LYB,LyraBar,LyraBar (LYB),Lyra2RE,PoW/PoS,0,0,N/A,N/A,476,False
136190,/coins/myst/overview,/media/1383561/myst.png,MYST,MYST,Mysterium,Mysterium (MYST),N/A,N/A,0,32433365,N/A,N/A,1259,False
